"country","htflowsunodc","prostitutionlaw","prostitutionbrothel","ruleWB_m","pop_ln","gdp_pc_const_ppp_ln","democracy","stockmigrants1990_ln","catholic2","reg_east_asia","reg_west_europe","reg_latam","reg_mideast","reg_sasia","reg_ssa"
"Faeroe Islands",NA,NA,NA,0.0300215929746628,10.680193901062,7.88298082351685,1,0.204836413264275,89.468879699707,0,1,0,0,0,0
"Micronesia, Fed. Sts.",NA,NA,NA,-0.328691720962524,11.5827131271362,7.99910020828247,1,-0.288106888532639,5.65207386016846,1,0,0,0,0,0
"Gabon",3,0,0,-0.473496586084366,13.896580696106,9.60905265808105,0,4.84968376159668,65.1999969482422,0,0,0,0,0,1
"United Kingdom",4,1,0,1.81710422039032,17.8762817382812,10.1411056518555,1,8.22048377990723,13.1000003814697,0,1,0,0,0,0
"Georgia",1,0,0,-1.21216976642609,15.4386348724365,7.45560169219971,0,5.82393312454224,1,0,0,0,0,0,0
"Equatorial Guinea",3,0,0,-1.36790466308594,13.021409034729,7.74518823623657,0,0.993251800537109,71.3000030517578,0,1,0,0,0,0
"Greece",5,1,0,0.720770537853241,16.1795673370361,9.78582382202148,1,6.02126598358154,0.400000005960464,0,1,0,0,0,0
"Grenada",NA,NA,NA,0.277332305908203,11.5145740509033,8.53624248504639,1,0.211185678839684,105.91145324707,0,0,1,0,0,0
"Greenland",NA,NA,NA,0.12489128857851,10.9295291900635,10.5071401596069,1,1.06804025173187,116.058517456055,0,1,0,0,0,0
"Guatemala",3,1,0,-0.932121396064758,16.1187610626221,8.20613193511963,1,5.5770845413208,94,0,0,1,0,0,0
"Guam",NA,NA,NA,2.34847736358643,11.8883295059204,10.0336904525757,1,4.87141752243042,58.6802597045898,0,1,0,0,0,0
"Guyana",NA,0,0,-0.269270241260529,13.5395631790161,7.65201902389526,0,1.41098690032959,18,0,0,1,0,0,0
"Hong Kong, China",4,1,0,1.07440757751465,15.6329536437988,10.2511987686157,0,7.70458650588989,7.90000009536743,0,1,0,0,0,0
"Honduras",1,1,0,-0.841036379337311,15.5361318588257,7.92566204071045,1,5.59990215301514,95.8000030517578,0,0,1,0,0,0
"Croatia",3,0,0,-0.204418420791626,15.3564558029175,9.20261764526367,1,6.16415643692017,76.5,0,1,0,0,0,0
"Hungary",3,0,0,0.782877504825592,16.150463104248,9.30054950714111,1,5.85076475143433,53.9000015258789,0,1,0,0,0,0
"Indonesia",2,0,0,-0.722854197025299,19.070405960083,7.94557571411133,0,6.14332675933838,2.70000004768372,1,0,0,0,0,0
"Isle of Man",NA,NA,NA,0.776389837265015,11.1838235855103,10.6830415725708,0,1.34050071239471,47.67431640625,0,1,0,0,0,0
"India",4,1,0,0.234424948692322,20.6530361175537,7.280837059021,1,8.92175102233887,1.29999995231628,0,0,0,0,1,0
"Ireland",2,1,0,1.66823470592499,15.0988998413086,9.97696304321289,1,5.42934560775757,95.3000030517578,0,1,0,0,0,0
"Iran, Islamic Rep.",3,0,0,-0.448601394891739,17.8922672271729,8.82767200469971,0,8.36441516876221,0.100000001490116,0,0,0,1,0,0
"Iraq",2,0,0,-1.59634304046631,16.8876247406006,8.68370914459229,0,4.42604351043701,1.79999995231628,0,0,0,1,0,0
"Iceland",3,1,0,1.82918477058411,12.4987421035767,10.1143283843994,1,2.26176309585571,0.699999988079071,0,1,0,0,0,0
"Israel",5,1,0,1.02552306652069,15.5284070968628,9.93126773834229,1,7.3979902267456,1,0,1,0,0,0,0
"Italy",5,1,0,0.832766115665436,17.8558578491211,10.1373157501221,1,7.26417016983032,83.1999969482422,0,1,0,0,0,0
"Jamaica",1,0,0,-0.343678802251816,14.7237691879272,8.84489727020264,1,3.03495287895203,9.60000038146973,0,0,1,0,0,0
"Jordan",NA,0,0,0.388181269168854,15.2494039535522,8.16245651245117,0,7.04429483413696,1.70000004768372,0,0,0,1,0,0
"Japan",5,0,0,1.46685802936554,18.6473293304443,10.2253198623657,1,6.98063373565674,0.600000023841858,0,1,0,0,0,0
"Kazakhstan",3,1,0,-0.852272689342499,16.576509475708,8.4116907119751,0,8.19400787353516,3,0,0,0,0,0,0
"Kiribati",NA,1,0,-0.68682849407196,11.254919052124,7.54841423034668,1,0.78845739364624,49,1,0,0,0,0,0
"St. Kitts and Nevis",NA,NA,NA,-0.328691720962524,10.6213274002075,9.26051807403564,1,-1.8310182094574,68.81494140625,0,0,1,0,0,0
"Korea, Rep.",3,0,0,0.735568940639496,17.6242370605469,9.66531372070312,1,6.34931373596191,3.90000009536743,0,1,0,0,0,0
"Kosovo",1,NA,NA,1.14964008331299,16.2762393951416,10.964506149292,1,5.08902263641357,19.7539691925049,0,0,0,0,0,0
"Kuwait",3,0,0,0.821144819259644,14.4044075012207,10.5346813201904,0,7.36852884292603,2.09999990463257,0,1,0,0,0,0
"Lebanon",3,0,1,-0.205062627792358,15.0656251907349,9.0617094039917,0,6.26091909408569,36.2000007629395,0,0,0,1,0,0
"Libya",2,0,0,-0.962721526622772,15.3912181854248,9.10806465148926,0,6.12577676773071,0.200000002980232,0,0,0,1,0,0
"St. Lucia",NA,NA,NA,-0.328691720962524,11.8874979019165,8.95709609985352,1,1.0554438829422,3.94507193565369,0,0,1,0,0,0
"Liechtenstein",NA,NA,NA,1.52053356170654,10.340160369873,8.96215343475342,1,2.74313712120056,110.763656616211,0,1,0,0,0,0
"Sri Lanka",2,0,0,-0.107732340693474,16.710334777832,7.8174614906311,1,6.12861442565918,6.80000019073486,0,0,0,0,1,0
"Lesotho",0,1,0,0.0905329063534737,14.3611469268799,6.91767597198486,0,2.10413408279419,43.5,0,0,0,0,0,1
"Lithuania",3,0,0,0.420285403728485,15.1052942276001,8.90633296966553,1,5.85593128204346,0,0,0,0,0,0,0
"Luxembourg",2,1,0,1.81542479991913,12.9205532073975,10.7876195907593,1,4.73444271087646,93,0,1,0,0,0,0
"Latvia",3,1,0,0.203584864735603,14.7377834320068,8.71721744537354,1,6.47079944610596,18.2000007629395,0,1,0,0,0,0
"Macao, China",NA,NA,NA,0.205764278769493,12.9282083511353,10.1130514144897,0,6.026451587677,71.158088684082,0,1,0,0,0,0
"Morocco",1,0,0,0.193127498030663,17.1095161437988,7.8573808670044,0,4.05352258682251,0.200000002980232,0,0,0,1,0,0
"Monaco",NA,NA,NA,-0.213902130723,10.3292455673218,10.046633720398,1,1.8239312171936,64.6600799560547,0,1,0,0,0,0
"Moldova",1,1,0,-0.269179224967957,15.2830972671509,7.52400398254395,1,6.36043834686279,0,0,0,0,0,0,0
"Maldives",1,NA,NA,0.396314740180969,12.4205389022827,7.8499960899353,0,-0.211377829313278,67.9601745605469,0,0,0,0,1,0
"Mexico",3,1,0,-0.506066501140594,18.3279628753662,9.2071647644043,0,6.55265045166016,94.6999969482422,0,0,1,0,0,0
"Marshall Islands",NA,NA,NA,-0.328691720962524,10.8395805358887,9.165940284729,1,2.28706359863281,-43.2415885925293,1,0,0,0,0,0
"Macedonia, FYR",3,0,0,-0.500082969665527,14.4902324676514,8.76274585723877,1,4.55492877960205,0.5,0,0,0,0,0,0
"Malta",0,0,0,1.25874423980713,12.8426494598389,9.7271900177002,1,1.75785791873932,97.3000030517578,0,1,0,0,0,0
"Montenegro",NA,NA,NA,0.292327761650085,13.3434791564941,9.1846342086792,1,1.53553795814514,14.429895401001,0,0,0,0,0,0
"Mongolia",NA,0,0,-0.0423496812582016,14.6352167129517,7.53642559051514,1,1.90210747718811,0,1,0,0,0,0,0
"Northern Mariana Islands",NA,NA,NA,-0.274844020605087,10.9631681442261,11.4537258148193,0,2.85032176971436,32.2456207275391,0,1,0,0,0,0
"Mauritius",NA,0,0,0.81856507062912,13.9310302734375,8.89691638946533,1,2.16332292556763,31.2000007629395,0,0,0,0,0,1
"Malaysia",3,1,0,0.474407732486725,16.8405075073242,9.12535858154297,0,6.92185544967651,2.79999995231628,1,0,0,0,0,0
"Mayotte",NA,NA,NA,-1.60915064811707,17.7921161651611,7.42401885986328,1,5.62589359283447,-4.47290945053101,0,0,0,0,0,1
